sample_id,main_lineage,sub_lineage,is_unknown_lineage,is_compound_lineage,stratifiable_single_lineage
SRR11947327,lineage4,lineage4.1.2,False,False,True
SRR11947328,lineage4,lineage4.6.2.2,False,False,True
SRR11947329,lineage4,lineage4.3.2.1,False,False,True
SRR11947330,lineage2,lineage2.2.1,False,False,True
SRR11947331,lineage4,lineage4.1.1.3,False,False,True
SRR11947332,lineage2,lineage2.2.1.1,False,False,True
SRR11947333,lineage4,lineage4.1,False,False,True
SRR11947334,lineage2,lineage2.2.1,False,False,True
SRR11947335,lineage4,lineage4.7,False,False,True
SRR11947336,lineage3,lineage3,False,False,True
SRR11947337,lineage2,lineage2.2.1.1,False,False,True
SRR11947338,lineage2,lineage2.2.1,False,False,True
SRR11947339,lineage4,lineage4.6.2.2,False,False,True
SRR11947340,lineage4,lineage4.3.2.1,False,False,True
SRR11947341,lineage4,lineage4.3.3,False,False,True
SRR11947342,lineage2,lineage2.2.1,False,False,True
SRR11947343,lineage4,lineage4.1.1.1,False,False,True
SRR11947344,lineage4,lineage4.4.1.1,False,False,True
SRR11947345,lineage3,lineage3.1.1,False,False,True
SRR11947346,lineage2,lineage2.2.1,False,False,True
SRR11947347,lineage4,lineage4.6,False,False,True
SRR11947348,lineage4,lineage4.4.1.1,False,False,True
SRR11947349,lineage4,lineage4.8,False,False,True
SRR11947350,lineage4,lineage4.6.2.2,False,False,True
SRR11947351,lineage3,lineage3.1,False,False,True
SRR11947352,lineage3,lineage3,False,False,True
SRR11947353,lineage4,lineage4.4.1.1,False,False,True
SRR11947354,lineage4,lineage4.8,False,False,True
SRR11947355,lineage4,lineage4.3.4.2,False,False,True
SRR11947356,lineage4,lineage4.9,False,False,True
SRR11947361,lineage4,lineage4.6.2.2,False,False,True
SRR11947362,lineage4,lineage4.4.1.1,False,False,True
SRR11947371,lineage4,lineage4.8,False,False,True
SRR11947372,lineage4,lineage4.6.2.2,False,False,True
SRR11947373,lineage4,lineage4.4.1.1,False,False,True
SRR11947374,lineage4,lineage4.3.2.1,False,False,True
SRR11947383,lineage4,lineage4.6.2.2,False,False,True
SRR11947390,lineage2,lineage2.2.1.1,False,False,True
SRR11947391,lineage4,lineage4.4.1.1,False,False,True
SRR11947392,lineage4,lineage4.4.1.1,False,False,True
SRR11947394,lineage4,lineage4.6,False,False,True
SRR11947398,lineage3,lineage3,False,False,True
SRR11947399,lineage4,lineage4.3.2,False,False,True
SRR11947400,lineage4,lineage4.3.2.1,False,False,True
SRR11947401,lineage4,lineage4.9,False,False,True
SRR11947408,lineage4,lineage4.3.3,False,False,True
SRR11947419,lineage2,lineage2.2.1,False,False,True
SRR11947430,lineage2,lineage2.2.1.1,False,False,True
SRR11947442,lineage4,lineage4.1.2,False,False,True
SRR11947453,lineage1,lineage1.1.3.2,False,False,True
SRR11947458,lineage2,lineage2.2.1.1,False,False,True
SRR11947459,lineage2,lineage2.2.1.1,False,False,True
SRR11947460,lineage2,lineage2.2.1.1,False,False,True
SRR11947461,lineage4,lineage4.1.1.3,False,False,True
SRR11947462,lineage3,lineage3,False,False,True
SRR11947463,lineage3,lineage3,False,False,True
SRR11947464,lineage4,lineage4.3.2.1,False,False,True
SRR11947465,lineage2,lineage2.2.1.1,False,False,True
SRR11947466,lineage4,lineage4.3.3,False,False,True
SRR11947467,lineage4,lineage4.1.1.3,False,False,True
SRR11947468,lineage4,lineage4.9,False,False,True
SRR11947470,lineage4,lineage4.3.2.1,False,False,True
SRR11947471,lineage4,lineage4.3.2.1,False,False,True
SRR11947473,lineage4,lineage4.1.1,False,False,True
SRR11947474,lineage4,lineage4.3.2.1,False,False,True
SRR11947475,lineage4,lineage4.3.3,False,False,True
SRR11947476,lineage4,lineage4.3.2,False,False,True
SRR11947477,lineage3,lineage3.1.1,False,False,True
SRR11947478,lineage3,lineage3,False,False,True
SRR11947479,lineage4,lineage4.3.2.1,False,False,True
SRR11947480,lineage4,lineage4.3.2.1,False,False,True
SRR11947481,lineage4,lineage4.3.2.1,False,False,True
SRR11947483,lineage4,lineage4.1.2,False,False,True
SRR11947485,lineage4,lineage4.8,False,False,True
SRR11947486,lineage4,lineage4.3.2.1,False,False,True
SRR11947487,lineage2,lineage2.2.1.1,False,False,True
SRR11947490,lineage4,lineage4.1.1.3,False,False,True
SRR11947491,lineage4,lineage4.3.2.1,False,False,True
SRR11947492,lineage2,lineage2.2.1,False,False,True
SRR11947493,lineage3,lineage3,False,False,True
SRR11947496,lineage4,lineage4.1.1,False,False,True
SRR11947497,lineage4,lineage4.6.2.2,False,False,True
SRR11947498,lineage4,lineage4.3.3,False,False,True
SRR11947499,lineage2,lineage2.2.1,False,False,True
SRR11947500,lineage4,lineage4.8,False,False,True
SRR11947502,lineage4,lineage4.3.2,False,False,True
SRR11947508,lineage4,lineage4.6.2.2,False,False,True
SRR11947509,lineage2,lineage2.2.1.1,False,False,True
SRR11947510,lineage4,lineage4.1.1.1,False,False,True
SRR11947518,lineage4,lineage4.1.1.3,False,False,True
SRR11947519,lineage4,lineage4.6.2.2,False,False,True
SRR11947520,lineage2,lineage2.2.1.1,False,False,True
SRR11947521,lineage4,lineage4.1.2.1,False,False,True
SRR11947522,lineage2,lineage2.2.1.1,False,False,True
SRR11947523,lineage3,lineage3,False,False,True
SRR11947524,lineage2,lineage2.2.1.1,False,False,True
SRR11947525,lineage4,lineage4.8,False,False,True
SRR11947526,lineage4,lineage4.1.1.3,False,False,True
SRR11947527,lineage4,lineage4.3.2.1,False,False,True
SRR11947528,lineage4,lineage4.4.1.1,False,False,True
SRR11947529,lineage4,lineage4.4.1.1,False,False,True
SRR11947530,lineage4,lineage4.6.2.2,False,False,True
SRR11947531,lineage4,lineage4.3.2,False,False,True
SRR11947532,lineage2,lineage2.2.1.1,False,False,True
SRR11947533,lineage4,lineage4.3.2.1,False,False,True
SRR11947534,lineage4,lineage4.3.2.1,False,False,True
SRR11947535,lineage4,lineage4.1.1.3,False,False,True
SRR11947536,lineage3,lineage3,False,False,True
